OrderID,CustomerID,ProductID,Category,Supplier,MarketingChannel,Region,OrderDate,Price,ReturnFlag
1,1102,5973,Electronics,SupplierC,Affiliate,Bengaluru,2021-01-01 00:00:00,442.61,1
2,1435,5631,Furniture,SupplierA,Direct,Kolkata,2021-01-01 01:00:00,121.57,0
3,1860,5893,Clothing,SupplierC,Social Media,Bengaluru,2021-01-01 02:00:00,449.0,1
4,1270,5566,Beauty,SupplierB,Ads,Delhi,2021-01-01 03:00:00,177.36,0
5,1106,5026,Electronics,SupplierA,Affiliate,Kolkata,2021-01-01 04:00:00,161.56,0
6,1071,5629,Sports,SupplierA,Ads,Kolkata,2021-01-01 05:00:00,366.11,0
7,1700,5732,Clothing,SupplierA,Direct,Mumbai,2021-01-01 06:00:00,159.3,1
8,1020,5230,Electronics,SupplierA,Affiliate,Mumbai,2021-01-01 07:00:00,35.95,1
9,1614,5564,Clothing,SupplierB,Affiliate,Mumbai,2021-01-01 08:00:00,193.07,0
10,1121,5806,Sports,SupplierA,Affiliate,Mumbai,2021-01-01 09:00:00,363.52,0
11,1466,5320,Electronics,SupplierD,Email,Delhi,2021-01-01 10:00:00,170.21,0
12,1214,5912,Sports,SupplierD,Affiliate,Mumbai,2021-01-01 11:00:00,318.48,1
13,1330,5232,Furniture,SupplierC,Ads,Bengaluru,2021-01-01 12:00:00,333.46,0
14,1458,5669,Sports,SupplierA,Ads,Kolkata,2021-01-01 13:00:00,369.53,0
15,1087,5436,Furniture,SupplierD,Direct,Delhi,2021-01-01 14:00:00,449.59,0
16,1372,5780,Electronics,SupplierD,Social Media,Delhi,2021-01-01 15:00:00,221.96,0
17,1099,5532,Furniture,SupplierD,Social Media,Kolkata,2021-01-01 16:00:00,91.55,0
18,1871,5402,Electronics,SupplierB,Email,Kolkata,2021-01-01 17:00:00,166.27,0
19,1663,5052,Electronics,SupplierA,Affiliate,Kolkata,2021-01-01 18:00:00,221.76,1
20,1130,5786,Beauty,SupplierB,Email,Delhi,2021-01-01 19:00:00,359.81,0
21,1661,5312,Electronics,SupplierB,Direct,Bengaluru,2021-01-01 20:00:00,16.43,0
22,1308,5280,Furniture,SupplierD,Direct,Bengaluru,2021-01-01 21:00:00,164.73,0
23,1769,5725,Beauty,SupplierD,Social Media,Kolkata,2021-01-01 22:00:00,392.12,0
24,1343,5030,Beauty,SupplierC,Direct,Delhi,2021-01-01 23:00:00,338.72,1
25,1491,5336,Electronics,SupplierA,Affiliate,Mumbai,2021-01-02 00:00:00,368.55,0
26,1413,5182,Sports,SupplierA,Ads,Delhi,2021-01-02 01:00:00,407.79,1
27,1805,5022,Sports,SupplierD,Direct,Kolkata,2021-01-02 02:00:00,393.79,0
28,1385,5543,Beauty,SupplierD,Email,Delhi,2021-01-02 03:00:00,344.27,0
29,1191,5445,Electronics,SupplierA,Affiliate,Delhi,2021-01-02 04:00:00,225.43,1
30,1955,5073,Sports,SupplierC,Direct,Delhi,2021-01-02 05:00:00,491.96,0
31,1276,5009,Electronics,SupplierD,Direct,Mumbai,2021-01-02 06:00:00,288.85,1
32,1160,5483,Electronics,SupplierC,Affiliate,Kolkata,2021-01-02 07:00:00,109.36,0
33,1459,5455,Beauty,SupplierB,Direct,Kolkata,2021-01-02 08:00:00,153.48,0
34,1313,5565,Beauty,SupplierD,Ads,Kolkata,2021-01-02 09:00:00,349.85,0
35,1021,5563,Clothing,SupplierB,Social Media,Bengaluru,2021-01-02 10:00:00,463.12,0
36,1252,5659,Sports,SupplierD,Affiliate,Bengaluru,2021-01-02 11:00:00,97.57,0
37,1747,5159,Sports,SupplierB,Email,Kolkata,2021-01-02 12:00:00,50.35,0
38,1856,5881,Sports,SupplierD,Direct,Delhi,2021-01-02 13:00:00,441.95,1
39,1560,5013,Furniture,SupplierC,Social Media,Delhi,2021-01-02 14:00:00,458.49,0
40,1474,5177,Electronics,SupplierC,Email,Kolkata,2021-01-02 15:00:00,145.43,0
41,1058,5411,Beauty,SupplierC,Email,Mumbai,2021-01-02 16:00:00,194.87,0
42,1510,5877,Sports,SupplierB,Ads,Mumbai,2021-01-02 17:00:00,333.49,0
43,1681,5052,Clothing,SupplierC,Social Media,Delhi,2021-01-02 18:00:00,171.67,0
